Agency Name,Acronym,Parent Agency,Official Website,Address,Contact Phone,Contact Email,Headcount (Mar 2025 est.),Notes,Procurement Contact Name,Procurement Contact Title,Procurement Phone,Procurement Email,OSDBU/Procurement URL
United States Mint,USMINT,Department of the Treasury,https://www.usmint.gov,"801 9th St NW, Washington, DC 20220",1-800-872-6468,,1900,,,Treasury OSDBU,(202) 622-0530,osdbu@treasury.gov,https://home.treasury.gov/services/small-and-disadvantaged-business-utilization
Administrative Conference of the United States,ACUS,,https://www.acus.gov,"1120 20th St NW, Suite 706, Washington, DC 20036",202-480-2080,,30,,,ACUS Procurement,(202) 480-2080,,https://www.acus.gov/about/procurement
Advisory Council on Historic Preservation,ACHP,,https://www.achp.gov,"401 F St NW, Washington, DC 20001",202-517-0200,,50,,,ACHP Procurement,(202) 517-0200,,https://www.achp.gov/about/procurement
Agency for International Development,USAID,,https://www.usaid.gov,"1300 Pennsylvania Ave NW, Washington, DC 20523",202-712-0000,pinquiries@usaid.gov,10600,,,OSDBU Director,(202) 712-1500,m_osdbu@usaid.gov,https://www.usaid.gov/work-usaid/small-and-disadvantaged-businesses
American Battle Monuments Commission,ABMC,,https://www.abmc.gov,"2300 Clarendon Blvd, Suite 500, Arlington, VA 22201",703-584-1501,info@abmc.gov,400,,,ABMC Procurement,(703) 696-6900,,https://www.abmc.gov/about-us/contacts
Appalachian Regional Commission,ARC,,https://www.arc.gov,"1666 Connecticut Ave NW, Washington, DC 20009",202-884-7700,arc@arc.gov,50,,,ARC Procurement,(202) 884-7700,info@arc.gov,https://www.arc.gov/about-arc/procurement/
Architect of the Capitol,AOC,,https://www.aoc.gov,"Ford House Office Building, Room H2-176, Washington, DC 20515",202-228-1793,,2200,,,AOC Small Business Program,(202) 228-1793,sbp@aoc.gov,https://www.aoc.gov/work-us/business-opportunities
Architectural and Transportation Barriers Compliance Board,Access Board,,https://www.access-board.gov,"1331 F St NW, Suite 1000, Washington, DC 20004",202-272-0080,info@access-board.gov,30,,,Access Board Procurement,(202) 272-0080,ta@access-board.gov,https://www.access-board.gov/about/procurement/
Arctic Research Commission,USARC,,https://www.arctic.gov,"4350 N Fairfax Dr, Suite 510, Arlington, VA 22203",703-525-0111,info@arctic.gov,10,,,USARC Procurement,(703) 525-0111,,https://www.arctic.gov/
Armed Forces Retirement Home,AFRH,,https://www.afrh.gov,"3700 N Capitol St NW, Washington, DC 20011",800-422-9988,,500,,,AFRH Procurement,(202) 730-3000,,https://www.afrh.gov/about/procurement/
Barry M. Goldwater Scholarship and Excellence in Education Foundation,Goldwater Foundation,,https://goldwaterscholarship.gov,"6225 Brandon Ave, Suite 315, Springfield, VA 22150",703-756-6012,,10,,,Goldwater Foundation,(202) 395-4831,,https://goldwaterscholarship.gov/
Central Intelligence Agency,CIA,,https://www.cia.gov,"Central Intelligence Agency, Washington, DC 20505",,,21575,Estimated; classified workforce,,CIA Procurement,(703) 482-1100,,https://www.cia.gov/about/doing-business-with-the-cia/
Chemical Safety and Hazard Investigation Board,CSB,,https://www.csb.gov,"1750 Pennsylvania Ave NW, Suite 910, Washington, DC 20006",202-261-7600,info@csb.gov,45,,,CSB Procurement,(202) 261-7600,,https://www.csb.gov/about-csb/
Civil Rights Commission,USCCR,,https://www.usccr.gov,"1331 Pennsylvania Ave NW, Suite 1150, Washington, DC 20425",202-376-7533,,50,,,USCCR Procurement,(202) 376-7700,,https://www.usccr.gov/about/offices/
Commodity Futures Trading Commission,CFTC,,https://www.cftc.gov,"3 Lafayette Centre, 1155 21st St NW, Washington, DC 20581",202-418-5000,,700,,,CFTC Procurement,(202) 418-5000,procurement@cftc.gov,https://www.cftc.gov/About/AbouttheCFTC/Procurement/index.htm
Congressional Budget Office,CBO,,https://www.cbo.gov,"Ford House Office Building, 4th Floor, Washington, DC 20515",202-226-2600,,250,Legislative branch,,CBO Procurement,(202) 226-2602,,https://www.cbo.gov/about/careers-and-procurement
Consumer Financial Protection Bureau,CFPB,,https://www.consumerfinance.gov,"1700 G St NW, Washington, DC 20552",855-411-2372,,1500,,,CFPB Procurement,(202) 435-7000,procurement@cfpb.gov,https://www.consumerfinance.gov/about-us/doing-business-with-us/
Consumer Product Safety Commission,CPSC,,https://www.cpsc.gov,"4330 East West Hwy, Bethesda, MD 20814",1-800-638-2772,info@cpsc.gov,550,,,CPSC Procurement,(301) 504-7923,procurement@cpsc.gov,https://www.cpsc.gov/Business--Manufacturing/Small-Business-Resources
Corporation for National and Community Service,AmeriCorps,,https://www.americorps.gov,"250 E St SW, Washington, DC 20525",202-606-5000,,600,,,AmeriCorps Procurement,(202) 606-5000,grants@americorps.gov,https://americorps.gov/about/agency-overview/procurement
Court Services and Offender Supervision Agency for DC,CSOSA,,https://www.csosa.gov,"633 Indiana Ave NW, Washington, DC 20004",202-220-5300,,700,,,CSOSA Procurement,(202) 220-5300,procurement@csosa.gov,https://www.csosa.gov/about-us/acquisition/
Defense Nuclear Facilities Safety Board,DNFSB,,https://www.dnfsb.gov,"625 Indiana Ave NW, Suite 700, Washington, DC 20004",202-694-7000,,100,,,DNFSB Procurement,(202) 694-7000,,https://www.dnfsb.gov/about-dnfsb/procurement
Denali Commission,,,https://www.denali.gov,"510 L St, Suite 410, Anchorage, AK 99501",907-271-1414,info@denali.gov,15,,,Denali Commission Procurement,(907) 271-1414,,https://www.denali.gov/about/procurement/
Election Assistance Commission,EAC,,https://www.eac.gov,"633 3rd St NW, Suite 200, Washington, DC 20001",1-866-747-1471,,50,,,EAC Procurement,(301) 563-3919,,https://www.eac.gov/about-the-useac/procurement
Environmental Protection Agency,EPA,,https://www.epa.gov,"1200 Pennsylvania Ave NW, Washington, DC 20460",202-564-4700,,14000,,,OSDBU Director,(202) 566-2075,osdbu@epa.gov,https://www.epa.gov/contracts
Equal Employment Opportunity Commission,EEOC,,https://www.eeoc.gov,"131 M St NE, Washington, DC 20507",202-663-4900,info@eeoc.gov,2000,,,EEOC Small Business,(202) 921-2965,eeoc.procurement@eeoc.gov,https://www.eeoc.gov/eeoc/procurement/
Export-Import Bank of the United States,EXIM,,https://www.exim.gov,"811 Vermont Ave NW, Washington, DC 20571",202-565-3946,,400,,,EXIM Procurement,(202) 565-3946,procurement@exim.gov,https://www.exim.gov/doing-business-with-us/contracting-opportunities/small-business-program
Farm Credit Administration,FCA,,https://www.fca.gov,"1501 Farm Credit Dr, McLean, VA 22102",703-883-4000,,350,,,FCA Procurement,(703) 883-4000,,https://www.fca.gov/about/procurement
Federal Accounting Standards Advisory Board,FASAB,,https://fasab.gov,"441 G St NW, Suite 6814, Washington, DC 20548",202-512-7350,,20,,,FASAB (Treasury support),(202) 512-7350,,https://fasab.gov/about-fasab/
Federal Communications Commission,FCC,,https://www.fcc.gov,"45 L St NE, Washington, DC 20554",1-888-225-5322,,1500,,,FCC Small Business Center,(202) 418-0990,smallbiz@fcc.gov,https://www.fcc.gov/procurement/small-business-center
Federal Deposit Insurance Corporation,FDIC,,https://www.fdic.gov,"550 17th St NW, Washington, DC 20429",1-877-275-3342,,5700,,,FDIC Small Business,(703) 562-2222,osdbu@fdic.gov,https://www.fdic.gov/about/doing-business-with-fdic/
Federal Election Commission,FEC,,https://www.fec.gov,"1050 First St NE, Washington, DC 20463",800-424-9530,info@fec.gov,350,,,FEC Procurement,(202) 694-1000,contracts@fec.gov,https://www.fec.gov/about/offices/acquisition/
Federal Housing Finance Agency,FHFA,,https://www.fhfa.gov,"400 7th St SW, Washington, DC 20219",202-649-3800,,600,,,FHFA Procurement,(202) 649-3800,procurement@fhfa.gov,https://www.fhfa.gov/about/doing-business
Federal Labor Relations Authority,FLRA,,https://www.flra.gov,"1400 K St NW, Washington, DC 20424",202-218-7770,,220,,,FLRA Procurement,(202) 218-7900,,https://www.flra.gov/about/office-general-counsel
Federal Maritime Commission,FMC,,https://www.fmc.gov,"800 N Capitol St NW, Washington, DC 20573",202-523-5725,,130,,,FMC Procurement,(202) 523-5900,,https://www.fmc.gov/about-the-fmc/organizational-offices/
Federal Mediation and Conciliation Service,FMCS,,https://www.fmcs.gov,"250 E St SW, Washington, DC 20427",202-606-8100,,200,,,FMCS Procurement,(202) 606-8100,,https://www.fmcs.gov/about/
Federal Mine Safety and Health Review Commission,FMSHRC,,https://www.fmshrc.gov,"1331 Pennsylvania Ave NW, Suite 520N, Washington, DC 20004",202-434-9900,,60,,,FMSHRC Procurement,(202) 434-9900,,https://www.fmshrc.gov/about/
Federal Permitting Improvement Steering Council,FPISC,,https://www.permits.performance.gov,"1800 F St NW, Washington, DC 20503",,,20,,,FPISC (GSA support),(202) 501-1021,osdbu@gsa.gov,https://www.permits.performance.gov/about/acquisition
Federal Reserve System,Fed,,https://www.federalreserve.gov,"20th St and Constitution Ave NW, Washington, DC 20551",202-452-3000,,23000,Board of Governors only; 12 Reserve Banks separate,,Federal Reserve Procurement,(202) 452-3000,,https://www.federalreserve.gov/aboutthefed/procure.htm
Federal Retirement Thrift Investment Board,FRTIB,,https://www.frtib.gov,"77 K St NE, Washington, DC 20002",202-942-1600,,300,Manages TSP,,FRTIB Procurement,(202) 942-1600,,https://www.frtib.gov/about-us/doing-business/
Federal Trade Commission,FTC,,https://www.ftc.gov,"600 Pennsylvania Ave NW, Washington, DC 20580",202-326-2222,,1100,,,FTC Procurement,(202) 326-2258,procurement@ftc.gov,https://www.ftc.gov/about-ftc/bureaus-offices/office-executive-director/contracting
Financial Stability Oversight Council,FSOC,,https://home.treasury.gov/policy-issues/financial-markets-financial-institutions-and-fiscal-service/fsoc,"1500 Pennsylvania Ave NW, Washington, DC 20220",202-622-2000,,30,,,Treasury OSDBU (FSOC Secretariat),(202) 622-0530,osdbu@treasury.gov,https://home.treasury.gov/services/small-and-disadvantaged-business-utilization
General Services Administration,GSA,,https://www.gsa.gov,"1800 F St NW, Washington, DC 20405",1-844-472-4357,,12000,,,GSA OSDBU,(202) 501-1021,osdbu@gsa.gov,https://www.gsa.gov/small-business
Government Accountability Office,GAO,,https://www.gao.gov,"441 G St NW, Washington, DC 20548",202-512-3000,contact@gao.gov,3200,Legislative branch,,GAO Procurement,(202) 512-6000,,https://www.gao.gov/about/what-gao-does/procurement
Government Ethics Office,OGE,,https://www.oge.gov,"1201 New York Ave NW, Suite 500, Washington, DC 20005",202-482-9300,,80,,,OGE Procurement,(202) 482-9300,,https://www.oge.gov/about/procurement
Government Publishing Office,GPO,,https://www.gpo.gov,"732 N Capitol St NW, Washington, DC 20401",202-512-0000,,1800,,,GPO Small Business,(202) 512-0526,smallbusiness@gpo.gov,https://www.gpo.gov/who-we-are/vendor-registration
Gulf Coast Ecosystem Restoration Council,RESTORE Council,,https://www.restorethegulf.gov,"500 Poydras St, Suite 1117, New Orleans, LA 70130",504-568-2875,,15,,,RESTORE Council Procurement,(228) 374-6000,,https://www.restorethegulf.gov/about/procurement/
Harry S. Truman Scholarship Foundation,TSF,,https://www.truman.gov,"712 Jackson Pl NW, Washington, DC 20006",816-268-1702,,10,,,Truman Foundation,(202) 395-4831,,https://www.truman.gov/about-us/
Institute of Museum and Library Services,IMLS,,https://www.imls.gov,"955 L'Enfant Plaza SW, Suite 4000, Washington, DC 20024",202-653-4657,imlsinfo@imls.gov,90,,,IMLS Grants/Procurement,(202) 653-4657,imlsinfo@imls.gov,https://www.imls.gov/about/doing-business-imls
Inter-American Foundation,IAF,,https://www.iaf.gov,"1331 Pennsylvania Ave NW, Suite 1200, Washington, DC 20004",703-306-4301,,35,,,IAF Procurement,(202) 360-4530,,https://www.iaf.gov/about/procurement/
International Trade Commission,USITC,,https://www.usitc.gov,"500 E St SW, Washington, DC 20436",202-205-2000,,500,,,ITC Procurement,(202) 205-2230,contractingofficer@usitc.gov,https://www.usitc.gov/procurement/
James Madison Memorial Fellowship Foundation,JMMFF,,https://www.jamesmadison.gov,"2000 K St NW, Suite 303, Washington, DC 20006",800-525-6928,,15,,,Madison Foundation,(800) 525-6928,,https://www.jamesmadison.gov/
Japan-United States Friendship Commission,JUSFC,,https://www.jusfc.gov,"1201 15th St NW, Suite 330, Washington, DC 20005",202-418-9800,,10,,,JUSFC Procurement,(202) 418-9800,,https://www.jusfc.gov/about/
Legal Services Corporation,LSC,,https://www.lsc.gov,"3333 K St NW, Washington, DC 20007",202-295-1500,info@lsc.gov,200,,,LSC Procurement,(202) 295-1500,procurement@lsc.gov,https://www.lsc.gov/about-lsc/procurement
Library of Congress,LOC,,https://www.loc.gov,"101 Independence Ave SE, Washington, DC 20540",202-707-5000,,3300,Legislative branch,,LOC Contracts & Grants,(202) 707-0396,,https://www.loc.gov/contracts/
Marine Mammal Commission,MMC,,https://www.mmc.gov,"4340 East-West Hwy, Suite 700, Bethesda, MD 20814",301-504-0087,mmc@mmc.gov,15,,,MMC Procurement,(301) 504-0087,,https://www.mmc.gov/about-the-commission/office-of-the-budget/
Merit Systems Protection Board,MSPB,,https://www.mspb.gov,"1615 M St NW, Washington, DC 20419",202-254-4564,,200,,,MSPB Procurement,(202) 653-7200,,https://www.mspb.gov/about/
Millennium Challenge Corporation,MCC,,https://www.mcc.gov,"1099 14th St NW, Washington, DC 20005",202-521-3600,,350,,,MCC Procurement,(202) 521-3600,procurement@mcc.gov,https://www.mcc.gov/who-we-work-with/vendor/small-business
Morris K. Udall and Stewart L. Udall Foundation,Udall Foundation,,https://www.udall.gov,"130 S Scott Ave, Tucson, AZ 85701",520-901-8500,info@udall.gov,30,,,Udall Foundation,(520) 901-8500,,https://www.udall.gov/AboutUs/AboutUs.aspx
National Aeronautics and Space Administration,NASA,,https://www.nasa.gov,"300 E St SW, Washington, DC 20546",202-358-0001,,18000,,Dwight Deneal,"Assistant Administrator, OSBP",(228) 688-1720,smallbusiness@nasa.gov,https://www.nasa.gov/osbp/
National Archives and Records Administration,NARA,,https://www.archives.gov,"8601 Adelphi Rd, College Park, MD 20740",1-866-272-6272,,3000,,,NARA Small Business,(301) 837-0600,contracts@nara.gov,https://www.archives.gov/contracts/small-business
National Capital Planning Commission,NCPC,,https://www.ncpc.gov,"401 9th St NW, Suite 500, Washington, DC 20004",202-482-7200,info@ncpc.gov,50,,,NCPC Procurement,(202) 482-7200,,https://www.ncpc.gov/about/procurement/
National Council on Disability,NCD,,https://www.ncd.gov,"1331 F St NW, Suite 850, Washington, DC 20004",202-272-2004,,20,,,NCD Procurement,(202) 272-2004,,https://ncd.gov/about/acquisition/
National Credit Union Administration,NCUA,,https://www.ncua.gov,"1775 Duke St, Alexandria, VA 22314",703-518-6300,,1300,,,NCUA Procurement,(703) 518-6300,procurement@ncua.gov,https://www.ncua.gov/regulation-supervision/regulatory-information/procurement
National Endowment for the Arts,NEA,,https://www.arts.gov,"400 7th St SW, Washington, DC 20506",202-682-5400,,170,,,NEA Procurement,(202) 682-5400,,https://www.arts.gov/about/doing-business-nea
National Endowment for the Humanities,NEH,,https://www.neh.gov,"400 7th St SW, Washington, DC 20506",202-606-8400,,180,,,NEH Procurement,(202) 606-8400,procurement@neh.gov,https://www.neh.gov/about/doing-business
National Labor Relations Board,NLRB,,https://www.nlrb.gov,"1015 Half St SE, Washington, DC 20570",1-844-762-6572,,1400,,,NLRB OSDBU,(202) 273-1000,osdbu@nlrb.gov,https://www.nlrb.gov/about-nlrb/who-we-are/our-organization/office-of-small-and-disadvantaged-business-utilization
National Mediation Board,NMB,,https://www.nmb.gov,"1301 K St NW, Suite 250E, Washington, DC 20005",202-692-5000,,50,,,NMB Procurement,(202) 692-5000,,https://www.nmb.gov/nmb-njsp/
National Railroad Passenger Corporation,Amtrak,,https://www.amtrak.com,"1 Massachusetts Ave NW, Washington, DC 20001",1-800-872-7245,,22000,Government-sponsored corporation,,Amtrak Procurement,(202) 906-3000,procurement@amtrak.com,https://www.amtrak.com/about-amtrak/business-and-industry/supplier-diversity.html
National Science Foundation,NSF,,https://www.nsf.gov,"2415 Eisenhower Ave, Alexandria, VA 22314",703-292-5111,,1500,,,NSF OSDBU,(703) 292-8050,sbir@nsf.gov,https://www.nsf.gov/bfa/dias/policy/small_business/
National Security Council,NSC,,https://www.whitehouse.gov/nsc,"Eisenhower Executive Office Building, Washington, DC 20504",,,400,Part of Executive Office of the President,,NSC / EOP Procurement,(202) 456-1414,,https://www.whitehouse.gov/nsc/
National Transportation Safety Board,NTSB,,https://www.ntsb.gov,"490 L'Enfant Plaza SW, Washington, DC 20594",202-314-6000,,400,,,NTSB Procurement,(202) 314-6000,procurement@ntsb.gov,https://www.ntsb.gov/about/Pages/procurement.aspx
Neighborhood Reinvestment Corporation,NeighborWorks,,https://www.neighborworks.org,"999 N Capitol St NE, Suite 900, Washington, DC 20002",202-220-2300,,200,,,NeighborWorks Procurement,(202) 220-2300,,https://www.neighborworks.org/about/doing-business-with-us
Nuclear Regulatory Commission,NRC,,https://www.nrc.gov,"11555 Rockville Pike, Rockville, MD 20852",301-415-7000,opa@nrc.gov,3000,,,NRC Small Business,(301) 415-7380,smallbusiness@nrc.gov,https://www.nrc.gov/about-nrc/contracting/small-business.html
Occupational Safety and Health Review Commission,OSHRC,,https://www.oshrc.gov,"1120 20th St NW, 9th Floor, Washington, DC 20036",202-606-5100,,60,,,OSHRC Procurement,(202) 606-5100,,https://www.oshrc.gov/about/offices/
Office of the National Cyber Director,ONCD,,https://www.whitehouse.gov/oncd,"Eisenhower Executive Office Building, Washington, DC 20504",,,75,,,EOP Procurement (ONCD),(202) 395-3000,,https://www.whitehouse.gov/oncd/
Office of National Drug Control Policy,ONDCP,,https://www.whitehouse.gov/ondcp,"750 17th St NW, Washington, DC 20503",202-395-6700,,50,,,ONDCP / EOP Procurement,(202) 395-6700,,https://www.whitehouse.gov/ondcp/
Peace Corps,,,https://www.peacecorps.gov,"1275 First St NE, Washington, DC 20526",1-855-855-1961,,1100,,,Peace Corps Procurement,(202) 692-1000,procurement@peacecorps.gov,https://www.peacecorps.gov/about/contracting/
Pension Benefit Guaranty Corporation,PBGC,,https://www.pbgc.gov,"445 12th St SW, Washington, DC 20024",1-800-400-7242,,1100,,,PBGC Procurement,(202) 326-4000,procurement@pbgc.gov,https://www.pbgc.gov/about/doing-business-with-pbgc
Office of Personnel Management,OPM,,https://www.opm.gov,"1900 E St NW, Washington, DC 20415",202-606-1800,,4200,,,OPM OSDBU,(202) 606-1000,opm_smallbiz@opm.gov,https://www.opm.gov/about-us/doing-business-with-opm/
Postal Regulatory Commission,PRC,,https://www.prc.gov,"901 New York Ave NW, Suite 200, Washington, DC 20268",202-789-6800,,90,,,PRC Procurement,(202) 789-6800,,https://www.prc.gov/about/offices/
United States Postal Service,USPS,,https://www.usps.com,"475 L'Enfant Plaza SW, Washington, DC 20260",1-800-275-8777,,593000,Excludes EHRI reporting; not in federal civilian count,,USPS Supplier Diversity,(202) 268-2000,supplier.diversity@usps.gov,https://about.usps.com/doing-business/supplier-diversity/
Privacy and Civil Liberties Oversight Board,PCLOB,,https://www.pclob.gov,"1776 G St NW, Suite 705, Washington, DC 20006",202-296-4649,,40,,,PCLOB Procurement,(202) 331-1986,,https://www.pclob.gov/about-us/acquisition/
Railroad Retirement Board,RRB,,https://www.rrb.gov,"844 N Rush St, Chicago, IL 60611",1-877-772-5772,,850,,,RRB Procurement,(312) 751-4500,,https://www.rrb.gov/about/procurement
Science and Technology Policy Office,OSTP,,https://www.whitehouse.gov/ostp,"Eisenhower Executive Office Building, Washington, DC 20504",202-395-7347,,90,,,OSTP / EOP Procurement,(202) 395-7347,,https://www.whitehouse.gov/ostp/
Securities and Exchange Commission,SEC,,https://www.sec.gov,"100 F St NE, Washington, DC 20549",202-551-8090,,4500,,,SEC OSDBU,(202) 551-7497,osdbu@sec.gov,https://www.sec.gov/osdbu
Selective Service System,SSS,,https://www.sss.gov,"1515 Wilson Blvd, Arlington, VA 22209",703-605-4000,,130,,,SSS Procurement,(703) 605-4000,,https://www.sss.gov/about-the-agency/procurement/
Small Business Administration,SBA,,https://www.sba.gov,"409 3rd St SW, Washington, DC 20416",1-800-827-5722,,7000,,Ryan Lambert,Associate Administrator for Gov. Contracting & BD,(202) 205-6460,acquisitions@sba.gov,https://www.sba.gov/about-sba/work-sba/contracting-sba
Smithsonian Institution,SI,,https://www.si.edu,"1000 Jefferson Dr SW, Washington, DC 20560",202-633-1000,,5200,,,Smithsonian OSDBU,(202) 633-6433,osdbu@si.edu,https://www.si.edu/osdbu/
Social Security Administration,SSA,,https://www.ssa.gov,"6401 Security Blvd, Baltimore, MD 21235",1-800-772-1213,,60000,,Leslie Ford,"Director, OSDBU",(410) 594-0111,smallbusiness@ssa.gov,https://www.ssa.gov/osdbu/
Office of Special Counsel,OSC,,https://osc.gov,"1730 M St NW, Suite 218, Washington, DC 20036",202-804-7000,,130,,,OSC Procurement,(202) 254-3600,,https://osc.gov/about/procurement
Surface Transportation Board,STB,,https://www.stb.gov,"395 E St SW, Washington, DC 20423",202-245-0245,,160,,,STB Procurement,(202) 245-0245,,https://www.stb.gov/stb/about/
Tennessee Valley Authority,TVA,,https://www.tva.com,"400 W Summit Hill Dr, Knoxville, TN 37902",865-632-2101,,11000,Government-owned corporation,,TVA Small Business,(865) 632-2101,smallbusiness@tva.com,https://www.tva.com/about-tva/doing-business-with-tva/small-business-program
Trade and Development Agency,USTDA,,https://www.ustda.gov,"1101 Wilson Blvd, Suite 1100, Arlington, VA 22209",703-875-4357,info@ustda.gov,55,,,USTDA Procurement,(703) 875-4357,procurement@ustda.gov,https://www.ustda.gov/doing-business
Office of the United States Trade Representative,USTR,,https://ustr.gov,"600 17th St NW, Washington, DC 20508",202-395-6890,,250,,,USTR Procurement,(202) 395-6000,,https://ustr.gov/about-us/procurement
U.S. African Development Foundation,USADF,,https://www.usadf.gov,"1400 I St NW, Suite 1000, Washington, DC 20005",202-233-8800,,40,,,USADF Procurement,(202) 233-8800,,https://www.usadf.gov/about/procurement
U.S. Agency for Global Media,USAGM,,https://www.usagm.gov,"330 Independence Ave SW, Washington, DC 20237",202-260-4959,,4000,"Oversees VOA, Radio Free Europe, etc.",,USAGM Procurement,(202) 203-4400,procurement@usagm.gov,https://www.usagm.gov/our-work/acquisition/
U.S.-China Economic and Security Review Commission,USCC,,https://www.uscc.gov,"444 N Capitol St NW, Suite 602, Washington, DC 20001",202-624-1407,,20,,,USCC Procurement,(202) 624-1407,,https://www.uscc.gov/about/procurement
U.S. International Development Finance Corporation,DFC,,https://www.dfc.gov,"1100 New York Ave NW, Washington, DC 20527",202-336-8400,,450,,,DFC Procurement,(202) 336-8400,procurement@dfc.gov,https://www.dfc.gov/partner/procurement
U.S. Institute of Peace,USIP,,https://www.usip.org,"2301 Constitution Ave NW, Washington, DC 20037",202-457-1700,info@usip.org,350,,,USIP Procurement,(202) 457-1700,contracts@usip.org,https://www.usip.org/about/who-we-are/procurement
United States Olympic and Paralympic Committee,USOPC,,https://www.teamusa.org,"1 Olympic Plaza, Colorado Springs, CO 80909",719-632-5551,,1100,Federally chartered; not a federal agency,,USOPC Procurement,(719) 632-5551,,https://www.teamusa.org/About-the-USOPC/Procurement
United States Sentencing Commission,USSC,,https://www.ussc.gov,"One Columbus Circle NE, Suite 2-500, Washington, DC 20002",202-502-4500,,90,,,USSC Procurement,(202) 502-4500,,https://www.ussc.gov/about/offices/procurement
Veterans Employment and Training Service,VETS,Department of Labor,https://www.dol.gov/agencies/vets,"200 Constitution Ave NW, Washington, DC 20210",202-693-4700,,250,,,DOL OSDBU,1-888-972-7332,osdbu@dol.gov,https://www.dol.gov/oasam/programs/osdbu/
Executive Office of the President,EOP,,https://www.whitehouse.gov,"Eisenhower Executive Office Building, 1650 Pennsylvania Ave NW, Washington, DC 20504",202-456-1414,,1800,"Includes OMB, CEQ, OSTP, NSC, etc.",,EOP Procurement (GSA support),(202) 395-3000,,https://www.whitehouse.gov/about-the-white-house/the-executive-office-of-the-president/
Office of Management and Budget,OMB,,https://www.whitehouse.gov/omb,"725 17th St NW, Washington, DC 20503",202-395-7254,,550,,,OMB Procurement,(202) 395-3080,,https://www.whitehouse.gov/omb/
Council on Environmental Quality,CEQ,,https://www.whitehouse.gov/ceq,"730 Jackson Pl NW, Washington, DC 20503",202-395-5750,,50,,,CEQ Procurement,(202) 395-5750,,https://www.whitehouse.gov/ceq/
The White House Office,WHO,,https://www.whitehouse.gov,"1600 Pennsylvania Ave NW, Washington, DC 20500",202-456-1111,,400,,,EOP Procurement,(202) 456-1414,,https://www.whitehouse.gov/
Administrative Office of United States Courts,AOUSC,,https://www.uscourts.gov,"One Columbus Circle NE, Washington, DC 20544",202-502-2600,,900,,,AOUSC Procurement,(202) 502-2600,,https://www.uscourts.gov/about-federal-courts/judicial-administration/procurement
Judicial Conference of the United States,Judicial Conference,,https://www.uscourts.gov/about-federal-courts/judicial-administration/judicial-conference-us,"One Columbus Circle NE, Washington, DC 20544",202-502-4000,,40,,,AOUSC Procurement,(202) 502-2600,,https://www.uscourts.gov/about-federal-courts/judicial-administration/procurement
Employee Benefits Security Administration,EBSA,Department of Labor,https://www.dol.gov/agencies/ebsa,"200 Constitution Ave NW, Washington, DC 20210",866-444-3272,,900,,,DOL OSDBU,1-888-972-7332,osdbu@dol.gov,https://www.dol.gov/oasam/programs/osdbu/
Employment and Training Administration,ETA,Department of Labor,https://www.dol.gov/agencies/eta,"200 Constitution Ave NW, Washington, DC 20210",202-693-2700,,900,,,DOL OSDBU,1-888-972-7332,osdbu@dol.gov,https://www.dol.gov/oasam/programs/osdbu/
Bureau of Labor Statistics,BLS,Department of Labor,https://www.bls.gov,"2 Massachusetts Ave NE, Washington, DC 20212",202-691-5200,,2500,,,DOL OSDBU,1-888-972-7332,osdbu@dol.gov,https://www.dol.gov/oasam/programs/osdbu/
Mine Safety and Health Administration,MSHA,Department of Labor,https://www.msha.gov,"201 12th St S, Arlington, VA 22202",202-693-9400,,2200,,,DOL OSDBU,1-888-972-7332,osdbu@dol.gov,https://www.dol.gov/oasam/programs/osdbu/
Occupational Safety and Health Administration,OSHA,Department of Labor,https://www.osha.gov,"200 Constitution Ave NW, Washington, DC 20210",1-800-321-6742,,2000,,,DOL OSDBU,1-888-972-7332,osdbu@dol.gov,https://www.dol.gov/oasam/programs/osdbu/
Office of Federal Contract Compliance Programs,OFCCP,Department of Labor,https://www.dol.gov/agencies/ofccp,"200 Constitution Ave NW, Washington, DC 20210",1-800-397-6251,,700,,,DOL OSDBU,1-888-972-7332,osdbu@dol.gov,https://www.dol.gov/oasam/programs/osdbu/
Wage and Hour Division,WHD,Department of Labor,https://www.dol.gov/agencies/whd,"200 Constitution Ave NW, Washington, DC 20210",1-866-487-9243,,1600,,,DOL OSDBU,1-888-972-7332,osdbu@dol.gov,https://www.dol.gov/oasam/programs/osdbu/
Commission of Fine Arts,CFA,,https://www.cfa.gov,"401 F St NW, Suite 312, Washington, DC 20001",202-504-2200,cfastaff@cfa.gov,10,,,CFA Procurement,(202) 504-2200,,https://www.cfa.gov/about/procurement
Delaware River Basin Commission,DRBC,,https://www.nj.gov/drbc,"25 State Police Dr, West Trenton, NJ 08628",609-883-9500,,60,,,DRBC Procurement,(609) 883-9500,,https://www.state.nj.us/drbc/
Farm Credit System Insurance Corporation,FCSIC,,https://www.fcsic.gov,"1501 Farm Credit Dr, McLean, VA 22102",703-883-4380,,10,,,FCSIC Procurement,(703) 883-4000,,https://www.fcsic.gov/about/
Federal Financial Institutions Examination Council,FFIEC,,https://www.ffiec.gov,"3501 Fairfax Dr, Arlington, VA 22226",202-872-7500,,30,,,FFIEC Procurement (Fed Reserve support),(202) 452-3000,,https://www.ffiec.gov/about.htm
Gulf Coast Ecosystem Restoration Council,RESTORE Council,,https://www.restorethegulf.gov,"500 Poydras St, Suite 1117, New Orleans, LA 70130",,,15,,,RESTORE Council Procurement,(228) 374-6000,,https://www.restorethegulf.gov/about/procurement/
